FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
tests.rs,0.000,0.000,992.000,124.000,false
ted.rs,57.880,0.815,71.088,7.377,false
display.rs,12.667,0.844,15.571,8.182,false
token_text.rs,18.976,0.422,78.704,45.957,false
parsing.rs,7.971,0.886,9.000,0.360,false
syntax_node.rs,8.189,0.585,14.135,4.941,false
block.rs,3.429,0.429,10.915,11.429,false
lib.rs,9.145,0.213,757.349,125.272,false
ptr.rs,11.613,0.484,37.434,27.429,false
utils.rs,1.189,0.297,6.543,8.667,false
validation.rs,58.500,0.500,630.084,156.622,false
reparsing.rs,19.333,0.372,936.463,143.314,false
fuzz.rs,0.000,0.000,272.000,64.000,false
hacks.rs,3.200,0.800,4.022,1.778,false
