FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
display_source_code.rs,28.904,3.212,9.000,0.360,false
mapping.rs,26.017,0.605,49.615,26.306,false
infer.rs,137.429,0.750,208.126,42.945,false
builtin_derive_macro.rs,19.661,0.578,65.212,40.800,false
hygiene.rs,46.038,0.639,73.320,18.254,false
ast_id_map.rs,32.042,0.641,50.187,8.421,false
eager.rs,36.800,0.800,46.605,12.120,false
builtin_attr_macro.rs,2.609,0.290,22.145,19.636,false
lib.rs,127.240,0.703,207.120,46.939,false
db.rs,88.330,0.869,122.357,29.459,false
name.rs,10.423,0.208,50.509,11.765,false
builtin_fn_macro.rs,72.895,0.729,160.313,72.811,false
quote.rs,12.648,0.436,29.000,1.160,false
proc_macro.rs,7.636,0.509,21.075,18.000,false
from_id.rs,78.268,0.525,190.694,73.532,false
has_source.rs,36.724,0.517,71.088,7.377,false
display.rs,178.676,1.046,297.707,85.610,false
lib.rs,600.502,0.796,1984.723,395.477,false
attrs.rs,18.506,0.494,240.890,84.848,false
source_to_def.rs,60.308,0.718,87.212,25.846,false
semantics.rs,252.568,0.842,317.107,68.997,false
db.rs,1.200,0.400,3.000,0.120,false
source_analyzer.rs,198.669,1.089,230.627,28.784,false
diagnostics.rs,0.042,0.021,4.630,6.957,false
markdown_remove.rs,0.000,0.000,42.000,24.000,false
moniker.rs,54.804,1.617,46.028,4.329,false
goto_definition.rs,233.133,2.620,103.000,0.630,false
move_item.rs,101.324,1.949,52.000,0.522,false
goto_type_definition.rs,50.947,1.592,32.023,3.598,false
call_info.rs,101.289,1.746,58.001,1.539,false
view_hir.rs,0.000,0.000,42.000,24.000,false
syntax_highlighting.rs,38.862,1.264,54.174,8.447,false
annotations.rs,172.786,3.067,59.074,6.530,false
tests.rs,38.519,1.541,25.021,3.235,false
intra_doc_links.rs,15.836,0.754,21.032,3.500,false
fn_references.rs,14.316,1.193,12.000,0.480,false
rename.rs,355.855,1.988,179.136,11.580,false
fixture.rs,10.690,0.972,11.000,0.440,false
lib.rs,65.154,0.456,1467.053,229.689,false
file_structure.rs,84.825,2.651,32.000,0.509,false
doc_links.rs,100.188,1.346,131.318,40.305,false
view_crate_graph.rs,0.000,0.000,420.000,80.000,false
expand_macro.rs,67.247,1.601,42.069,5.695,false
matching_brace.rs,14.407,0.847,17.000,0.680,false
parent_module.rs,24.720,1.301,19.000,0.760,false
syntax_tree.rs,42.500,2.500,17.002,1.378,false
highlight.rs,202.918,1.149,433.855,139.655,false
tests.rs,117.286,4.511,26.135,6.083,false
inject.rs,57.000,1.198,85.364,37.755,false
injector.rs,13.000,0.591,22.176,6.286,false
macro_.rs,28.421,0.711,40.003,1.951,false
format.rs,11.321,0.755,15.000,0.600,false
highlights.rs,16.053,0.803,20.000,0.800,false
html.rs,6.727,0.841,8.000,0.320,false
tags.rs,58.437,0.751,133.393,43.412,false
tests.rs,446.037,3.163,141.000,5.640,false
render.rs,122.150,1.042,146.478,16.472,false
extend_selection.rs,129.844,1.333,116.135,10.014,false
navigation_target.rs,139.008,0.799,189.347,44.068,false
runnables.rs,475.637,2.856,169.502,17.582,false
shuffle_crate_graph.rs,0.000,0.000,72.000,32.000,false
join_lines.rs,201.571,1.961,115.026,5.780,false
markup.rs,6.036,0.464,14.114,9.750,false
references.rs,246.105,1.850,133.024,5.907,false
typing.rs,97.708,1.458,67.778,14.942,false
status.rs,0.000,0.000,1406.000,148.000,false
highlight_related.rs,248.158,2.064,140.109,9.917,false
ssr.rs,21.386,2.139,10.000,0.400,false
view_item_tree.rs,0.000,0.000,6.000,8.000,false
inlay_hints.rs,395.980,1.885,214.208,14.182,false
goto_declaration.rs,13.395,0.837,16.178,5.671,false
on_enter.rs,97.859,1.529,64.007,3.036,false
call_hierarchy.rs,96.164,1.414,68.307,11.018,false
static_index.rs,40.329,0.807,51.271,15.962,false
goto_implementation.rs,60.448,1.634,37.013,3.094,false
hover.rs,73.523,1.410,88.141,9.263,false
prime_caches.rs,0.000,0.000,42.000,24.000,false
folding_ranges.rs,107.864,1.397,89.011,3.947,false
parser.rs,33.071,0.781,121.437,61.496,false
tt_iter.rs,42.652,1.000,62.032,5.010,false
lib.rs,72.947,0.695,107.578,25.877,false
to_parser_input.rs,29.345,1.494,37.099,6.167,false
transcriber.rs,36.400,0.743,53.533,24.225,false
matcher.rs,162.355,1.080,230.212,50.695,false
benchmark.rs,2.887,0.052,2712.900,211.957,false
token_map.rs,16.446,0.783,21.002,1.273,false
syntax_bridge.rs,133.538,1.075,168.288,14.580,false
expander.rs,5.077,0.635,8.000,0.320,false
lib.rs,0.217,0.003,3972.762,250.740,false
lib.rs,12.190,0.762,27.944,23.040,false
algo.rs,44.754,0.714,2552.184,240.314,false
tests.rs,0.000,0.000,1892.000,172.000,false
ted.rs,57.880,0.815,71.088,7.377,false
