FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
generate_default_from_enum_variant.rs,25.524,1.595,16.000,0.640,false,true,crates/ide_assists/src/handlers/generate_default_from_enum_variant.rs
generate_default_from_new.rs,104.216,2.542,41.000,0.284,false,true,crates/ide_assists/src/handlers/generate_default_from_new.rs
generate_delegate_methods.rs,59.138,1.556,38.109,6.431,false,true,crates/ide_assists/src/handlers/generate_delegate_methods.rs
generate_deref.rs,38.195,1.317,29.000,0.712,false,true,crates/ide_assists/src/handlers/generate_deref.rs
generate_derive.rs,19.211,1.011,19.000,0.760,false,false,crates/ide_assists/src/handlers/generate_derive.rs
generate_documentation_template.rs,317.772,1.892,168.001,1.922,false,true,crates/ide_assists/src/handlers/generate_documentation_template.rs
generate_enum_is_method.rs,42.881,2.257,19.000,0.760,false,true,crates/ide_assists/src/handlers/generate_enum_is_method.rs
generate_enum_projection_method.rs,36.111,1.444,25.000,1.000,false,true,crates/ide_assists/src/handlers/generate_enum_projection_method.rs
generate_from_impl_for_enum.rs,53.895,1.684,32.000,1.280,false,true,crates/ide_assists/src/handlers/generate_from_impl_for_enum.rs
generate_function.rs,336.652,1.732,200.032,7.457,false,true,crates/ide_assists/src/handlers/generate_function.rs
generate_getter.rs,67.500,2.250,30.000,0.283,false,true,crates/ide_assists/src/handlers/generate_getter.rs
generate_impl.rs,14.318,1.591,9.002,1.000,false,true,crates/ide_assists/src/handlers/generate_impl.rs
generate_is_empty_from_len.rs,42.297,1.839,23.000,0.920,false,true,crates/ide_assists/src/handlers/generate_is_empty_from_len.rs
generate_new.rs,47.873,2.176,22.000,0.284,false,true,crates/ide_assists/src/handlers/generate_new.rs
generate_setter.rs,28.915,1.606,18.000,0.720,false,true,crates/ide_assists/src/handlers/generate_setter.rs
generated.rs,23.250,0.411,113.000,47.094,false,true,crates/parser/src/syntax_kind/generated.rs
generated.rs,255.532,2.607,98.000,3.920,false,true,crates/ide_assists/src/tests/generated.rs
generated.rs,7.917,0.528,15.000,0.600,false,false,crates/syntax/src/ast/generated.rs
generated_lints.rs,0.000,0.000,1.000,0.040,false,false,crates/ide_db/src/helpers/generated_lints.rs
generic_args.rs,30.099,0.912,33.000,1.320,false,false,crates/parser/src/grammar/generic_args.rs
generic_params.rs,53.125,0.966,55.120,7.500,false,true,crates/parser/src/grammar/generic_params.rs
generics.rs,75.297,0.753,100.377,13.415,false,true,crates/hir_def/src/generics.rs
global_state.rs,0.000,0.000,3192.000,224.000,false,true,crates/rust-analyzer/src/global_state.rs
globs.rs,42.065,3.505,12.000,0.480,false,true,crates/hir_def/src/nameres/tests/globs.rs
goto_declaration.rs,13.395,0.837,16.178,5.671,false,false,crates/ide/src/goto_declaration.rs
goto_definition.rs,236.720,2.630,104.000,0.626,false,true,crates/ide/src/goto_definition.rs
goto_implementation.rs,60.448,1.634,37.013,3.094,false,true,crates/ide/src/goto_implementation.rs
goto_type_definition.rs,50.947,1.592,32.023,3.598,false,true,crates/ide/src/goto_type_definition.rs
grammar.rs,58.292,0.895,71.107,7.853,false,true,crates/parser/src/grammar.rs
hacks.rs,3.200,0.800,4.022,1.778,false,false,crates/syntax/src/hacks.rs
handle.rs,0.000,0.000,306.000,68.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/handle.rs
handle.rs,0.000,0.000,306.000,68.000,false,true,crates/proc_macro_srv/src/abis/abi_1_54/proc_macro/bridge/handle.rs
handle.rs,9.759,0.574,17.000,0.680,false,false,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/handle.rs
handle.rs,0.000,0.000,306.000,68.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/handle.rs
handlers.rs,0.000,0.000,245520.000,1980.000,false,true,crates/rust-analyzer/src/handlers.rs
has_source.rs,36.724,0.517,71.088,7.377,false,true,crates/hir/src/has_source.rs
helpers.rs,66.968,0.803,129.090,52.629,false,true,crates/ide_db/src/helpers.rs
highlight.rs,0.000,0.000,20.000,16.000,false,false,crates/rust-analyzer/src/cli/highlight.rs
highlight.rs,188.377,1.151,359.485,117.798,false,true,crates/ide/src/syntax_highlighting/highlight.rs
highlight_related.rs,247.955,2.064,140.109,9.906,false,true,crates/ide/src/highlight_related.rs
highlights.rs,16.053,0.803,20.000,0.800,false,false,crates/ide/src/syntax_highlighting/highlights.rs
hover.rs,76.556,1.416,91.141,9.368,false,true,crates/ide/src/hover.rs
hprof.rs,2.957,0.043,3907.281,255.650,false,true,crates/profile/src/hprof.rs
html.rs,6.727,0.841,8.000,0.320,false,false,crates/ide/src/syntax_highlighting/html.rs
hygiene.rs,46.430,0.645,73.190,17.633,false,true,crates/hir_expand/src/hygiene.rs
import_assets.rs,107.151,0.771,141.170,26.825,false,true,crates/ide_db/src/helpers/import_assets.rs
import_map.rs,196.842,1.323,154.248,13.468,false,true,crates/hir_def/src/import_map.rs
inactive_code.rs,14.902,1.863,8.000,0.333,false,true,crates/ide_diagnostics/src/handlers/inactive_code.rs
incorrect_case.rs,68.671,2.081,33.000,1.320,false,true,crates/ide_diagnostics/src/handlers/incorrect_case.rs
incremental.rs,6.857,1.143,6.000,0.240,false,false,crates/hir_ty/src/tests/incremental.rs
incremental.rs,50.865,1.541,33.000,0.641,false,true,crates/hir_def/src/nameres/tests/incremental.rs
infer.rs,137.234,0.749,208.126,42.945,false,true,crates/hir_ty/src/infer.rs
inject.rs,57.333,1.207,84.054,36.245,false,true,crates/ide/src/syntax_highlighting/inject.rs
injector.rs,13.000,0.591,22.176,6.286,false,false,crates/ide/src/syntax_highlighting/injector.rs
inlay_hints.rs,405.024,1.926,214.173,13.340,false,true,crates/ide/src/inlay_hints.rs
inline_call.rs,238.115,2.006,131.024,5.894,false,true,crates/ide_assists/src/handlers/inline_call.rs
inline_local_variable.rs,143.949,1.714,84.000,1.252,false,true,crates/ide_assists/src/handlers/inline_local_variable.rs
input.rs,84.424,0.670,155.795,62.167,false,true,crates/base_db/src/input.rs
input.rs,9.500,0.679,14.000,0.560,false,false,crates/parser/src/input.rs
insert_use.rs,86.970,0.863,221.666,91.550,false,true,crates/ide_db/src/helpers/insert_use.rs
insert_whitespace_into_node.rs,34.660,1.466,42.160,7.551,false,true,crates/ide_db/src/helpers/insert_whitespace_into_node.rs
install.rs,0.000,0.000,1892.000,172.000,false,true,xtask/src/install.rs
integrated_benchmarks.rs,0.637,0.064,93.278,37.633,false,true,crates/rust-analyzer/src/integrated_benchmarks.rs
intern.rs,39.708,0.567,70.969,16.311,false,true,crates/hir_def/src/intern.rs
interner.rs,34.810,0.405,1010.500,172.000,false,true,crates/hir_ty/src/interner.rs
intra_doc_links.rs,15.836,0.754,21.032,3.500,false,false,crates/ide/src/doc_links/intra_doc_links.rs
introduce_named_generic.rs,17.031,1.135,15.000,0.600,false,false,crates/ide_assists/src/handlers/introduce_named_generic.rs
introduce_named_lifetime.rs,58.839,0.965,61.000,0.992,false,true,crates/ide_assists/src/handlers/introduce_named_lifetime.rs
invalid_derive_target.rs,3.391,1.130,3.000,0.120,false,false,crates/ide_diagnostics/src/handlers/invalid_derive_target.rs
invert_if.rs,21.991,0.880,25.005,2.062,false,false,crates/ide_assists/src/handlers/invert_if.rs
item.rs,83.356,0.839,109.659,22.549,false,true,crates/ide_completion/src/item.rs
item.rs,21.571,2.397,9.000,0.360,false,true,crates/ide_completion/src/tests/item.rs
item_list.rs,32.158,2.474,13.000,0.520,false,true,crates/ide_completion/src/tests/item_list.rs
item_scope.rs,74.613,0.802,93.047,6.526,false,true,crates/hir_def/src/item_scope.rs
item_tree.rs,67.297,0.420,198.003,69.795,false,true,crates/hir_def/src/item_tree.rs
items.rs,93.117,1.246,102.119,9.183,false,true,crates/parser/src/grammar/items.rs
items_locator.rs,24.331,0.760,32.725,11.406,false,false,crates/ide_db/src/items_locator.rs
join_lines.rs,201.571,1.961,115.026,5.780,false,true,crates/ide/src/join_lines.rs
keys.rs,1.404,0.234,6.000,0.240,false,false,crates/hir_def/src/keys.rs
keyword.rs,74.034,1.837,59.012,3.562,false,true,crates/ide_completion/src/completions/keyword.rs
label.rs,8.471,0.471,20.592,14.400,false,false,crates/ide_db/src/label.rs
lang_item.rs,25.890,0.575,81.904,47.368,false,true,crates/hir_def/src/lang_item.rs
lexed_str.rs,76.194,1.300,93.430,20.342,false,true,crates/parser/src/lexed_str.rs
lib.rs,4.911,0.158,466.516,95.246,false,true,crates/proc_macro_srv/src/lib.rs
lib.rs,74.231,0.425,250.903,91.760,false,true,crates/hir_def/src/lib.rs
lib.rs,13.746,0.352,222.493,77.082,false,true,crates/project_model/src/lib.rs
