FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
../serde/test_suite/tests/ui/remote/bad_remote.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/enum_getter.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/missing_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/nonremote_getter.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/unknown_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/wrong_de.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/wrong_getter.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/wrong_ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/rename/container_unknown_rename_rule.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/rename/variant_unknown_rename_rule.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/struct-representation/internally-tagged-tuple.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/struct-representation/internally-tagged-unit.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/at_most_one.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/de_at_least_one.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/enum.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/ser_at_least_one.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/unit_struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/with_from.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/with_into.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/transparent/with_try_from.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/type-attribute/from.rs,0.000,0.000,0.000,0.000,true,-,-
