FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"parse_str (739, 741)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/parse_str (739,741)"
"parse_str_raw (743, 748)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/parse_str_raw (743,748)"
"ignore_str (750, 752)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/ignore_str (750,752)"
"decode_hex_escape (754, 756)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/decode_hex_escape (754,756)"
"begin_raw_buffering (759, 761)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/begin_raw_buffering (759,761)"
"end_raw_buffering (764, 769)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/end_raw_buffering (764,769)"
"set_failed (773, 775)",0.000,0.000,0.000,0.000,false,false,"/&'a mut R (711,776)/set_failed (773,775)"
"next (632, 634)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/next (632,634)"
"peek (637, 639)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/peek (637,639)"
"discard (642, 644)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/discard (642,644)"
"position (646, 648)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/position (646,648)"
"peek_position (650, 652)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/peek_position (650,652)"
"byte_offset (654, 656)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/byte_offset (654,656)"
"parse_str (658, 665)",0.000,1.600,0.000,0.000,false,true,"/StrRead<'a> (630,705)/parse_str (658,665)"
"parse_str_raw (667, 672)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/parse_str_raw (667,672)"
"ignore_str (674, 676)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/ignore_str (674,676)"
"decode_hex_escape (678, 680)",0.000,0.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/decode_hex_escape (678,680)"
"begin_raw_buffering (683, 685)",0.000,0.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/begin_raw_buffering (683,685)"
"end_raw_buffering (688, 696)",0.000,0.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/end_raw_buffering (688,696)"
"set_failed (702, 704)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (630,705)/set_failed (702,704)"
"<anonymous> (659, 664)",0.000,2.000,0.000,0.000,false,true,"/StrRead<'a> (630,705)/parse_str (658,665)/<anonymous> (659,664)"
"new (619, 625)",0.000,1.000,0.000,0.000,false,false,"/StrRead<'a> (617,626)/new (619,625)"
"next (489, 499)",2.000,1.000,2.000,0.000,false,false,"/SliceRead<'a> (487,613)/next (489,499)"
"peek (502, 510)",2.000,1.000,2.000,0.000,false,false,"/SliceRead<'a> (487,613)/peek (502,510)"
"discard (513, 515)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/discard (513,515)"
"position (517, 519)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/position (517,519)"
"peek_position (521, 525)",0.000,1.667,0.000,0.000,false,true,"/SliceRead<'a> (487,613)/peek_position (521,525)"
"byte_offset (527, 529)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/byte_offset (527,529)"
"parse_str (531, 533)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/parse_str (531,533)"
"parse_str_raw (535, 540)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/parse_str_raw (535,540)"
"ignore_str (542, 564)",2.261,0.565,4.006,1.143,false,false,"/SliceRead<'a> (487,613)/ignore_str (542,564)"
"decode_hex_escape (566, 584)",3.778,0.944,4.000,0.000,false,false,"/SliceRead<'a> (487,613)/decode_hex_escape (566,584)"
"begin_raw_buffering (587, 589)",0.000,0.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/begin_raw_buffering (587,589)"
"end_raw_buffering (592, 604)",0.000,0.000,2.000,4.000,false,false,"/SliceRead<'a> (487,613)/end_raw_buffering (592,604)"
"set_failed (610, 612)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/set_failed (610,612)"
"<anonymous> (539, 539)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (487,613)/parse_str_raw (535,540)/<anonymous> (539,539)"
"new (406, 413)",0.000,1.000,0.000,0.000,false,false,"/SliceRead<'a> (404,483)/new (406,413)"
"position_of_index (415, 429)",2.600,0.867,3.000,0.000,false,false,"/SliceRead<'a> (404,483)/position_of_index (415,429)"
